Major,Gender,Year,Number
Genetics-LAS,Female,2016,71
Genetics-LAS,Male,2016,28
Geology,Female,2016,21
Geology,Male,2016,42
German,Female,2016,NA
German,Male,2016,NA
History,Female,2016,80
History,Male,2016,157
Interdisc St,Female,2016,125
Interdisc St,Male,2016,180
Intnsv Engl LAS,Female,2016,17
Intnsv Engl LAS,Male,2016,40
Journ/Mass Comm,Female,2016,177
Journ/Mass Comm,Male,2016,143
Lib Arts/Sc Crt,Male,2016,NA
Lib Arts/Sc Opt,Female,2016,NA
Lib Arts/Sc Opt,Male,2016,1
Lib Arts/Sc Spc,Female,2016,89
Lib Arts/Sc Spc,Male,2016,91
Liberal Studies,Female,2016,54
Liberal Studies,Male,2016,64
Linguistics,Female,2016,58
Linguistics,Male,2016,13
Mathematics,Female,2016,70
Mathematics,Male,2016,124
Meteorology,Female,2016,32
Meteorology,Male,2016,61
Music,Female,2016,60
Music,Male,2016,53
Open Option-LAS,Female,2016,456
Open Option-LAS,Male,2016,396
P-Prof Hlth Prg,Female,2016,37
P-Prof Hlth Prg,Male,2016,15
Performing Arts,Female,2016,28
Performing Arts,Male,2016,12
Philosophy,Female,2016,7
Philosophy,Male,2016,18
Physics,Female,2016,13
Physics,Male,2016,93
Political Sc,Female,2016,91
Political Sc,Male,2016,132
Pre-Advertising,Female,2016,NA
Pre-Advertising,Male,2016,NA
Pre-Computer Sc,Female,2016,30
Pre-Computer Sc,Male,2016,280
Pre-Journ/Ms Cm,Female,2016,NA
Pre-Journ/Ms Cm,Male,2016,NA
Pre-Liberal St,Female,2016,18
Pre-Liberal St,Male,2016,32
PreBiol/Med Ill,Female,2016,49
PreBiol/Med Ill,Male,2016,10
Prep Human Med,Female,2016,50
Prep Human Med,Male,2016,36
Prep Law,Female,2016,5
Prep Law,Male,2016,5
Psychology,Female,2016,570
Psychology,Male,2016,168
Public Relation,Female,2016,213
Public Relation,Male,2016,47
Religious St,Female,2016,4
Religious St,Male,2016,8
Russian St,Female,2016,NA
Sociology,Female,2016,46
Sociology,Male,2016,33
Software Engr,Female,2016,28
Software Engr,Male,2016,253
Spanish,Female,2016,NA
Spanish,Male,2016,NA
Speech Comm,Female,2016,11
Speech Comm,Male,2016,11
Statistics,Female,2016,46
Statistics,Male,2016,48
Technical Comm,Female,2016,7
Technical Comm,Male,2016,16
Women's Studies,Female,2016,8
Women's Studies,Male,2016,1
World Lng & Cul,Female,2016,51
World Lng & Cul,Male,2016,23
