series_id,year,period,value,date,area_code,base_period,series_title,begin_year,begin_period,end_year,end_period,area_name,region,sort_sequence
CUURA210SA0,2010,11,206.168,2010-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2011,1,207.58700000000002,2011-01-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2011,3,209.372,2011-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2011,5,212.17499999999998,2011-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2011,7,211.686,2011-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2011,9,213.004,2011-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2011,11,211.225,2011-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2012,1,211.985,2012-01-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2012,3,214.74299999999997,2012-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2012,5,214.607,2012-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2012,7,214.612,2012-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2012,9,216.85100000000003,2012-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2012,11,214.661,2012-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2013,1,215.102,2013-01-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2013,3,216.946,2013-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2013,5,217.738,2013-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2013,7,219.251,2013-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2013,9,218.38000000000002,2013-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2013,11,216.772,2013-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2014,1,217.445,2014-01-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2014,3,220.96200000000002,2014-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2014,5,221.41299999999998,2014-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2014,7,222.41,2014-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2014,9,221.242,2014-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2014,11,219.99200000000002,2014-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2015,1,218.536,2015-01-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2015,3,220.444,2015-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2015,5,221.277,2015-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2015,7,223.36800000000002,2015-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2015,9,220.304,2015-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2015,11,219.126,2015-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2016,1,218.845,2016-01-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2016,3,219.97,2016-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2016,5,221.92600000000002,2016-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2016,7,222.01,2016-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2016,9,220.963,2016-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2016,11,220.777,2016-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2017,1,222.24099999999999,2017-01-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2017,3,222.849,2017-03-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2017,5,223.089,2017-05-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2017,7,223.529,2017-07-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2017,9,224.879,2017-09-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA210SA0,2017,11,224.39000000000001,2017-11-01,A210,1982-84=100,"All items in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",1914,M12,2017,M13,"Cleveland-Akron, OH",midwest,19
CUURA311SA0,1997,1,100.4,1997-01-01,A311,NOVEMBER 1996=100,"All items in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",1996,M11,2017,M13,"Washington-Baltimore, DC-MD-VA-WV",south,36
CUURA311SA0,1997,3,100.8,1997-03-01,A311,NOVEMBER 1996=100,"All items in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",1996,M11,2017,M13,"Washington-Baltimore, DC-MD-VA-WV",south,36
